threshold,n,win_pct,draw_pct,lose_pct,ev_one_step,ev_rollout
2,100000,39.161,6.335,54.504,-0.15343,-0.14924375
3,100000,39.161,6.335,54.504,-0.15343,-0.14924375
4,100000,39.161,6.335,54.504,-0.15343,-0.148561875
5,100000,39.161,6.335,54.504,-0.15343,-0.147365625
6,100000,39.161,6.345000000000001,54.494,-0.15333,-0.14574
7,100000,39.173,6.431000000000001,54.396,-0.15223,-0.1428984375
8,100000,39.289,6.564,54.147,-0.14858,-0.1375328125
9,100000,39.612,6.752,53.635999999999996,-0.14024,-0.1280928125
10,100000,40.251,7.0489999999999995,52.7,-0.12449,-0.11256109375
11,100000,41.153,7.352,51.495000000000005,-0.10342,-0.0921334375
12,100000,41.321000000000005,7.786,50.893,-0.09572,-0.08379140625
13,100000,41.398,8.248999999999999,50.353,-0.08955,-0.07741046875
14,100000,41.295,8.725,49.980000000000004,-0.08685,-0.0742696875
15,100000,41.101,9.238,49.661,-0.0856,-0.0749696875
16,100000,40.801,9.724,49.475,-0.08674,-0.07821203125
17,100000,40.18,8.971,50.849,-0.10669,-0.09882625
18,100000,38.272,8.062,53.666000000000004,-0.15394,-0.14556109375
19,100000,35.007,7.210999999999999,57.782,-0.22775,-0.2195846875
20,100000,28.445999999999998,5.256,66.298,-0.37852,-0.36984734375
21,100000,24.647,4.777,70.57600000000001,-0.45929,-0.45039734375
